"shortcode","url","type","caption","hashtags","likes","comments","views","timestamp","image_url","location","owner"
"DVoHOTQD4-B","https://www.instagram.com/p/DVoHOTQD4-B/","carousel","🚀 15 Internships in 2026 You Shouldn’t Miss  From Deloitte to Infosys — top companies offering internships for students across tech, business, consulting & data roles. 💼  💰 Stipends up to ₹30K/month 📍 Hybrid / Remote opportunities 🎓 Open for UG / PG students  Internships are the fastest way to gain real industry experience and boost your resume.  📌 Save this list before applications close 🔥 Follow @decode_leox for internships, tech roadmaps & career tips  #Internships2026 #StudentOpportunities #CareerGrowth #TechInternship PlacementPreparation #DecodeLeox","Internships2026 StudentOpportunities CareerGrowth TechInternship DecodeLeox","17355","5984","","2026-03-08T14:26:43.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/649435628_17915286609318792_6776001682843484079_n.webp?_nc_cat=111&ig_cache_key=Mzg0ODM0MzIwMzIzNDEyMDUxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=YlVWpZRGd0kQ7kNvwEQZIfS&_nc_oc=AdqKq2kb43QByG88WaZXyWj41ZBzLvf3FbrLrjnKBApQrXmn35ajt1lK13qTCF0qWjsmXMBICijsnd-eS2RcAmZf&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=NJ85hmd45wGZlpNiycKBLw&_nc_ss=7a22e&oh=00_AQAn9ejfW95WXk7VemhFCEc5eDlecz_gXn9gXBtSSMHFXA&oe=6A5CD775","","decode_leox"
"DOdjwFCAmP9","https://www.instagram.com/p/DOdjwFCAmP9/","carousel","Comment “TCS” to Get all Links!🔥  Follow @coders_section for more!🙂  tcs free internships 2025, tcs virtual internships, tcs internships with certificate, free internships for students, tcs ai ml internship, cybersecurity internship free, data visualization internship, tcs career edge program, free online internships india, resume building internships  🔥 Hashtags: #TCS #FreeInternship #VirtualInternship #CodingCommunity #AIandML #Cybersecurity #CareerGrowth #SkillBuilding #FreeCourses #TechCommunity #LearnAndGrow #DeveloperCommunity #JobReady #OnlineInternship","TCS FreeInternship VirtualInternship CodingCommunity AIandML Cybersecurity CareerGrowth SkillBuilding FreeCourses TechCommunity LearnAndGrow DeveloperCommunity JobReady OnlineInternship","2378","3495","","2025-09-11T12:24:35.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/545349192_17919031902168132_2578985695702867102_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=MzcxOTI4NjA3OTQzMDUxNzY4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=pNz9ogasbp0Q7kNvwGhNpYj&_nc_oc=AdpNLn3QQyyQIWYoJXu6H2tMrQ7tYn-CfBxL8xMs9j9UYHNp-lbQVqXbb-tI520067XYuU8h1Sqp4LVfkhbWY4zb&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=UF61oGVYRlkyIgUpf8_dgQ&_nc_ss=7a22e&oh=00_AQBxsrPYaxSgZSxYYys6-yOQ8qolIZZ5L8fhDA2eCFXNPQ&oe=6A5CEF0A","British Columbia, Canada","coders_section"
"DaOgDhnMDGx","https://www.instagram.com/p/DaOgDhnMDGx/","video","Stop applying on Internshala for ₹2,000 stipends.  I just dropped my first Substack post with 2 websites that completely change how you find internships. Real companies, real pay, and you’re applying before most students even know the role exists.  Link in bio. Go read it.  [ internship, internship2026, placementseason, offcampusinternship, startupsintership, wellfound, techinternship, indiajobs, freshersjobs, campusplacement, startupjobs, remoteinternship, placementprep, substack, techstudents ]","","1879","2641","189565","2026-06-30T22:25:41.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/731808181_18604845325009440_6045241748402852827_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=MzkzMTIyMDUwNDQ3ODc1NzI5NzE4NjA0ODQ1MzE5MDA5NDQw.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=p_eP43YHKP4Q7kNvwH2LhPl&_nc_oc=AdpCtYaLGkL-HGpN4XObbuW9-u7qGzimVeF1prsRVjYvHjIVUlhWm9mGqVOUGPjFvOsChuiywyTonW4SuIWMEItX&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=rY634-f5AgfVvQUtSCHGng&_nc_ss=7a22e&oh=00_AQCV1qkpIuZacLqtgtyZpNSHKA1OW0C1P5AXr3Hfmw-dJA&oe=6A5CE094","","krishnagangwal.ai"
"DVxrsvDlHGz","https://www.instagram.com/p/DVxrsvDlHGz/","carousel","10 students. 1 internship. ₹6000 stipend.  And no… this is not another post telling you to “keep applying everywhere and hope someone replies.” 🙂  Here’s something different.  10 freshers who want to learn Social Media Marketing and compete for a work-from-home internship. Throughout the program, participants will work on practical assignments, real social media tasks, and learn the skills required to actually manage and grow accounts.  At the end of the program, one top performer will be selected for a Social Media Marketing Internship with a ₹6000/month stipend.  Before the comment section gets too excited, a few important notes:  • This is not a free program • Only 10 students will be selected • The internship goes to the top performer • Assignments and consistency will actually matter (shocking, we know)  This opportunity is meant for freshers who are serious about starting their career in Social Media Marketing, not just collecting certificates or adding another course to their “maybe someday” list.  Let’s see who’s actually serious. 👀","","1010","1257","","2026-03-12T07:38:36.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/650228873_17970338292001763_4876832968694849654_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzg1MTA1MDYxNzcwMDIwOTI3Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ThVGPMNRnVYQ7kNvwFgvr2V&_nc_oc=AdpAgPdRrx2f7soNAadSKH49kt1GK7XFGMR9ZISLNTk2RYb8DnOG-7ukzqkinUHV5YPTqzF3hD1vClihvcZIkaDw&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=Bl_VEUdhBqmZP8QSyek6YQ&_nc_ss=7a22e&oh=00_AQCkmz9q4zxxO_bPebDiaI6qvdMA7rRhoWiD1racRg2yig&oe=6A5CEFD6","","wabbithire"
"DTzaJcvCX_1","https://www.instagram.com/p/DTzaJcvCX_1/","carousel","Stop scrolling! ✋ Google Internships are LIVE.  Comment 'GOOGLE' for the link. Let’s get to work! 🚀","","1412","4903","","2026-01-22T06:40:56.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/619544578_17870595102531363_1409681324829357830_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MzgxNTUwODI5ODg0MjA5Njg0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ySxaqmCNtOoQ7kNvwHU-FiL&_nc_oc=AdoMDEVM0gJxq1PPX82_UaxdwKKvD_KGw8KpKykXWPmsAae2sDqO1CSmyvsHpsi-bVyxcMAML4t6YYap2LmaAvF3&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=1TjD2SHoT8g75TeQm8gmoA&_nc_ss=7a22e&oh=00_AQDe1Lhwe3wOtFKTMBL1TD8JLziEaCBX3xSvSpRkWqviMQ&oe=6A5CD9C9","","hustleverse22"
"DYiDIlfjStu","https://www.instagram.com/p/DYiDIlfjStu/","image","HSI Paid Internship 2026 #lgtscholars","lgtscholars","45","11","","2026-05-19T19:29:43.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/702763704_17940228150222229_7048975936074485841_n.webp?_nc_cat=107&ig_cache_key=MzkwMDY5NDAxMTQwOTQxMDkyNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTEyMi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=adPmXwsUh-YQ7kNvwHDFmZk&_nc_oc=AdrYO-DLAfoPUoS39QQGzTfYTKwkbTzDFlHGXXojE0RBlZfM4oIAXJMcejNal7ZeCT1mJK9MY6DOC3xEPKeyg8v9&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=aSghrF7j1OyJVSN4_fz8pg&_nc_ss=7a22e&oh=00_AQBIT9WY11UXg6xSOX4-E5r-ArXlZKBLrAS7R0VzQnt--Q&oe=6A5CD620","","lgtscholars"
"DSkw5l7EsCk","https://www.instagram.com/p/DSkw5l7EsCk/","carousel","Prepare before the year to ace the new year !   hi I’m saniyaaa aka @thatmarchgirlll and I’m an ai engineer , girl with 9+cgpa in tech , 6+ internship where 3 are in AI , represented my university solely at Startup Mahakumbh twice ( India’s largest startup event ) , published international research paper , lead global tech community as a Lead of Google developers group on campus , worked with international clients for freelance , led 2 tech startup’s and represented them too for the board of members , a public speaker , creator at LinkedIn , wrote tech blogs on Wordpress. thought of giving a small intro too   Save this and share with your friends who always keep asking “ where should i apply for internships ? “  A lot of students suffer not getting the right opportunity not cuz you’re less qualified but cuz you are not aware of the opportunities, Save this and apply for opportunities!   #internships #ai #student #placements #job","internships ai student placements job","3","545","","2025-12-22T17:39:45.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/591161431_17919675978214144_8823058064447301064_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzc5MzM3MTgzOTE1MTEyMjI2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=z1QNoC58oX4Q7kNvwE49ESK&_nc_oc=AdpLCujkHfh_dPwqsP8uldmPVcRyUnIGtkFItdZEPLUD6BmJlnJYkMw28YTlgsM_kFJcU-vLavdLiDiaMWBV6u_H&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=ZJHTGzejxuRiv1XRLRrdqA&_nc_ss=7a22e&oh=00_AQDge3vxohjX21nNF6KRrYrIRcVx-CvuTO9g7nIjVU5R2g&oe=6A5CF95B","","thatmarchgirlll"
"DZT2t4spdHK","https://www.instagram.com/p/DZT2t4spdHK/","image","⚖️ Legal Internship Opportunity – July 2026 ⚖️  Looking to gain practical legal exposure beyond textbooks?  Legis Nex is inviting applications for its 1-Month Remote Internship Program designed for law students and aspiring legal professionals eager to strengthen their research, drafting, and analytical skills.  📚 Key Learning Areas • Legal Research • Case Analysis • Legal Drafting • Contract Review • Academic & Practical Legal Assignments  🎓 What You'll Receive ✔ Internship Certificate ✔ Letter of Recommendation (for top performers) ✔ Practical Exposure to Legal Work ✔ Publication Opportunities (where applicable)  📍 Mode: Remote ⏳ Duration: 1 Month 💼 Stipend: Unpaid  Interested in building your legal skills and gaining meaningful experience?  💬 Comment ""INTERESTED"" below or send your CV to legisnex@gmail.com  📅 Application Deadline: 29 June 2026  #LegalInternship #LawStudents #InternshipOpportunity #LegalResearch #LegalDrafting","LegalInternship LawStudents InternshipOpportunity LegalResearch LegalDrafting","15","154","","2026-06-08T03:43:54.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/718631496_18084656711164804_4766086360667288383_n.webp?_nc_cat=100&ig_cache_key=MzkxNDcxMzE0ODg4MTc1MjUyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=SBo6nri3dHQQ7kNvwHCMcoo&_nc_oc=AdrFRI1W4--qBPBkt_PBQlHq5-piFZY4ZbiWMMVRxeSrDwzUnYMDw68oQ6R7BppWF_jXAZuqWwquxichZPCoklYJ&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=0cUqUwuqJjTGYx-TRdOPzg&_nc_ss=7a22e&oh=00_AQAw_8Wrp9MXYyaESpmdwyKxSiRq3hu73fg03J7qf3yGQw&oe=6A5CD668","","legis_nex"
"DOMPWoFjWo_","https://www.instagram.com/p/DOMPWoFjWo_/","image","Netflix Internship Program 2026 | Funded Internship  Benefits • Funded internship with one of the world’s top entertainment companies. • Gain hands-on experience in your field of interest. • Networking opportunities with Netflix professionals. • Work on impactful projects in a dynamic environment.  📅 Deadline: Varies  Link is provided in our story and highlights.  Credit to: Netflix   Opportunities Circle does not claim the ownership of opportunities shared. All information is adapted from official sources and may be updated or changed at any time. For credit or content-related inquiries, please reach out to us.  #opportunitiescircle #netflixinternship #paidinternship #careeropportunities #globalinternship","opportunitiescircle netflixinternship paidinternship careeropportunities globalinternship","16827","1097","","2025-09-04T18:59:25.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/542472553_18318414403208620_2516504192466736724_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=MzcxNDQxMTMxODI0Mjc5ODE0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=8T9fO1P_7jEQ7kNvwEbqG7b&_nc_oc=Adp2b_g9SxNUbm6SOpLYSwk-_d7Itk3tBKhJbT8G-di1PzJl9M3KSlA3hQ2K0HXKZObsJv9MWMIzdmZCrSF1Yz8T&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=jX65tt5iF6ZclAsKnJEj9w&_nc_ss=7a22e&oh=00_AQA-vM_vF-nMJmSSYJhfLXosuNdt8kfRln9QooTpGSANkw&oe=6A5CD885","","opportunitiescircleofficial"
"DYg0NkLxGOG","https://www.instagram.com/p/DYg0NkLxGOG/","image","We’re growing & so is our team 👩‍💻  Karvaan is now hiring interns for all possible positions!   if you’re passionate, creative, and love being part of something meaningful - we’d love to have you on board 🤍   DM us with a short intro about yourself to apply.   let’s build, create & experience together.  this is just the beginning 🫶  #jaipurinternships #hiringinterns #internshipopportunity #jaipurdiaries #jaipur","jaipurinternships hiringinterns internshipopportunity jaipurdiaries jaipur","597","81","","2026-05-19T08:06:36.000Z","https://instagram.fraj8-1.fna.fbcdn.net/v/t51.82787-15/703988598_17887577343564849_5862234893114403580_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MzkwMDM0NjkwNzkyNjc1MDA4Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQxNy5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ekISAM4diUMQ7kNvwG-Yd32&_nc_oc=AdqTsNROjqUQ1Veq1F7LeVurEab2xzcxSPbkyhBmZU_V8p5HOwzLsaJJQ6s9MHJJvl8rAaqcGR-U-XWim8njLiap&_nc_ad=z-m&_nc_cid=2034&_nc_zt=23&_nc_ht=instagram.fraj8-1.fna&_nc_gid=ZIKKFKwJ8dTRRTPJDRjf7g&_nc_ss=7a22e&oh=00_AQD-9u6G-vEv94aHfUgo2cQrO2Z7j9vNurLe02xri4dT3g&oe=6A5CF5E9","Jaipur, Rajasthan","karvaan.space"
